Script started on 2025-10-13 22:47:07+03:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="87" LINES="43"]
[?2004h]0;mrgrey@codeby: ~/codeby-devops/lesson4[01;32mmrgrey@codeby[00m:[01;34m~/codeby-devops/lesson4[00m$ ps aux
[?2004lUSER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.3  0.4  25292 15748 ?        Ss   22:19   0:05 /sbin/init auto auto
root           2  0.0  0.0      0     0 ?        S    22:19   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    22:19   0:00 [pool_workqueue_rele
root           4  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-kvfree_rc
root           7  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-slub_flus
root           8  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-netns]
root          12  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/u512:0-ipv6
root          13  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-mm_percpu
root          14  0.0  0.0      0     0 ?        I    22:19   0:00 [rcu_tasks_kthread]
root          15  0.0  0.0      0     0 ?        I    22:19   0:00 [rcu_tasks_rude_kthr
root          16  0.0  0.0      0     0 ?        I    22:19   0:00 [rcu_tasks_trace_kth
root          17  0.0  0.0      0     0 ?        S    22:19   0:00 [ksoftirqd/0]
root          18  0.0  0.0      0     0 ?        I    22:19   0:00 [rcu_preempt]
root          19  0.0  0.0      0     0 ?        S    22:19   0:00 [rcu_exp_par_gp_kthr
root          20  0.0  0.0      0     0 ?        S    22:19   0:00 [rcu_exp_gp_kthread_
root          21  0.0  0.0      0     0 ?        S    22:19   0:00 [migration/0]
root          22  0.0  0.0      0     0 ?        S    22:19   0:00 [idle_inject/0]
root          23  0.0  0.0      0     0 ?        S    22:19   0:00 [cpuhp/0]
root          24  0.0  0.0      0     0 ?        S    22:19   0:00 [cpuhp/1]
root          25  0.0  0.0      0     0 ?        S    22:19   0:00 [idle_inject/1]
root          26  0.0  0.0      0     0 ?        S    22:19   0:00 [migration/1]
root          27  0.0  0.0      0     0 ?        S    22:19   0:00 [ksoftirqd/1]
root          29  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/1:0H-events
root          31  0.0  0.0      0     0 ?        I    22:19   0:00 [kworker/u514:0-ext4
root          32  0.0  0.0      0     0 ?        S    22:19   0:00 [kdevtmpfs]
root          33  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-inet_frag
root          34  0.0  0.0      0     0 ?        S    22:19   0:00 [kauditd]
root          35  0.0  0.0      0     0 ?        S    22:19   0:00 [khungtaskd]
root          36  0.0  0.0      0     0 ?        S    22:19   0:00 [oom_reaper]
root          39  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-writeback
root          40  0.0  0.0      0     0 ?        S    22:19   0:00 [kcompactd0]
root          41  0.0  0.0      0     0 ?        SN   22:19   0:00 [ksmd]
root          42  0.0  0.0      0     0 ?        SN   22:19   0:00 [khugepaged]
root          43  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-kintegrit
root          44  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-kblockd]
root          45  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-blkcg_pun
root          46  0.0  0.0      0     0 ?        S    22:19   0:00 [irq/9-acpi]
root          48  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-tpm_dev_w
root          49  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-ata_sff]
root          50  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-md]
root          51  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-md_bitmap
root          52  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-edac-poll
root          53  0.0  0.0      0     0 ?        I<   22:19   0:00 [kworker/R-devfreq_w
